Date,fgroup,ratio,lower,upper
2023-08-28,Mesopredator,0.5207025202434176,0.4154547589952707,0.6526128506592294
2023-09-06,Mesopredator,0.5219611575855323,0.41667807613811997,0.6538463759675217
2023-09-15,Mesopredator,0.5232228372942523,0.4178891106454426,0.6551071336685792
2023-09-24,Mesopredator,0.5244875667235585,0.4190876306845045,0.6563954350031603
2023-10-04,Mesopredator,0.5257553532452071,0.42027341166291343,0.6577115843999625
2023-10-13,Mesopredator,0.527026204248774,0.4214462366265585,0.6590558790799912
2023-10-22,Mesopredator,0.5283001271416964,0.4226058966427415,0.6604286086757476
2023-10-31,Mesopredator,0.5295771293493169,0.4237521911666035,0.6618300548671379
2023-11-09,Mesopredator,0.5308572183149269,0.42488492838900954,0.6632604910359338
2023-11-18,Mesopredator,0.5321404014998093,0.4260039255641391,0.664720181940539
2023-11-27,Mesopredator,0.5334266863832825,0.4271090093151265,0.6662093834127217
2023-12-06,Mesopredator,0.534716080462744,0.42820001591620893,0.6677283420778513
2023-12-15,Mesopredator,0.5360085912537136,0.429276791549966,0.6692772951000531
2023-12-25,Mesopredator,0.5373042262898774,0.4303391925383836,0.6708564699535561
2024-01-03,Mesopredator,0.5386029931231324,0.431387085546623,0.6724660842213476
2024-01-12,Mesopredator,0.5399048993236298,0.43242034775854454,0.6741063454220834
2024-01-21,Mesopredator,0.541209952479819,0.43343886702321205,0.6757774508660334
2024-01-30,Mesopredator,0.5425181601984924,0.4344425419717832,0.6774795875406543
2024-02-08,Mesopredator,0.5438295301048296,0.4354312821043774,0.6792129320261959
2024-02-17,Mesopredator,0.5451440698424415,0.4364050078467068,0.6809776504415592
2024-02-26,Mesopredator,0.5464617870734151,0.43736365057644344,0.6827738984204331
2024-03-06,Mesopredator,0.5477826894783578,0.4383071526194825,0.6846018211175442
2024-03-16,Mesopredator,0.5491067847564431,0.4392354672164564,0.6864615532446742
2024-03-25,Mesopredator,0.5504340806254546,0.44014855846002426,0.6883532191359134
